object_type,clr_property,enum_type,members
Controller_PID,DynamicsSpec,DWSIM.Interfaces.Enums.Dynamics+DynamicsSpecType,"Pressure,Flow"
Controller_Python,ObjectClass,DWSIM.Interfaces.Enums.SimulationObjectClass,"Streams,PressureChangers,Separators,MixersSplitters,Exchangers,Reactors,Columns,Solids,CAPEOPEN,UserModels,Logical,Other,Indicators,Controllers,Switches,Inputs,None,CleanPowerSources,Electrolyzers"
Controller_Python,DynamicsSpec,DWSIM.Interfaces.Enums.Dynamics+DynamicsSpecType,"Pressure,Flow"
Cooler,ObjectClass,DWSIM.Interfaces.Enums.SimulationObjectClass,"Streams,PressureChangers,Separators,MixersSplitters,Exchangers,Reactors,Columns,Solids,CAPEOPEN,UserModels,Logical,Other,Indicators,Controllers,Switches,Inputs,None,CleanPowerSources,Electrolyzers"
Cooler,CalcMode,DWSIM.UnitOperations.UnitOperations.Cooler+CalculationMode,"HeatRemoved,OutletTemperature,OutletVaporFraction,TemperatureChange,EnergyStream"
Cooler,DynamicsSpec,DWSIM.Interfaces.Enums.Dynamics+DynamicsSpecType,"Pressure,Flow"
CustomUO,ObjectClass,DWSIM.Interfaces.Enums.SimulationObjectClass,"Streams,PressureChangers,Separators,MixersSplitters,Exchangers,Reactors,Columns,Solids,CAPEOPEN,UserModels,Logical,Other,Indicators,Controllers,Switches,Inputs,None,CleanPowerSources,Electrolyzers"
CustomUO,ExecutionEngine,DWSIM.UnitOperations.UnitOperations.CustomUO+PythonExecutionEngine,"IronPython,PythonNET"
CustomUO,DynamicsSpec,DWSIM.Interfaces.Enums.Dynamics+DynamicsSpecType,"Pressure,Flow"
DigitalGauge,ObjectClass,DWSIM.Interfaces.Enums.SimulationObjectClass,"Streams,PressureChangers,Separators,MixersSplitters,Exchangers,Reactors,Columns,Solids,CAPEOPEN,UserModels,Logical,Other,Indicators,Controllers,Switches,Inputs,None,CleanPowerSources,Electrolyzers"
